"t_stamp","add_feed 1","add_feed 2","cement_flow_return","cli_feed","gyp_feed","hopper_cli_lev","hopper_gyp_lev","hopper_lime_lev","lime_feed","tot_feed","tot_feed sv"
"2017-07-01 06:30:00.000","0.0","0.0","0.0","0.0","0.0","13.200729370117188","0.0","0.0","0.0","280.29449462890625","0.0"
"2017-07-01 06:40:00.000","0.0","0.0","0.0","0.0","0.0","12.355522155761719","0.0","0.0","0.0","293.7161560058594","0.0"
"2017-07-01 06:50:00.000","0.0","0.0","0.0","0.0","0.0","14.145074844360352","0.0","0.0","0.0","298.5678405761719","0.0"
"2017-07-01 07:00:00.000","0.0","0.0","0.0","0.0","0.0","14.836665153503418","0.0","0.0","0.0","289.3674621582031","0.0"
"2017-07-01 07:10:00.000","0.0","0.0","0.0","0.0","0.0","14.698019027709961","0.0","0.0","0.0","283.11712646484375","0.0"
"2017-07-01 07:20:00.000","0.0","0.0","0.0","0.0","0.0","13.175703048706055","0.0","0.0","0.0","287.8235778808594","0.0"
"2017-07-01 07:30:00.000","0.0","0.0","0.0","0.0","0.0","12.70280933380127","0.0","0.0","0.0","294.0247802734375","0.0"
"2017-07-01 07:40:00.000","0.0","0.0","0.0","0.0","0.0","13.20908260345459","0.0","0.0","0.0","296.13311767578125","0.0"
"2017-07-01 07:50:00.000","0.0","0.0","0.0","0.0","0.0","14.465959548950195","0.0","0.0","0.0","282.5441589355469","0.0"
"2017-07-01 08:00:00.000","0.0","0.0","0.0","0.0","0.0","13.248196601867676","0.0","0.0","0.0","286.4720458984375","0.0"
"2017-07-01 08:10:00.000","0.0","0.0","0.0","0.0","0.0","12.81423568725586","0.0","0.0","0.0","286.8747863769531","0.0"
"2017-07-01 08:20:00.000","0.0","0.0","0.0","0.0","0.0","13.323575973510742","0.0","0.0","0.0","282.9002380371094","0.0"
"2017-07-01 08:30:00.000","0.0","0.0","0.0","0.0","0.0","13.050629615783691","0.0","0.0","0.0","281.4699401855469","0.0"
